Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30245.70697,31920.23907,31888.50874,32507.08431,35059.2731,35098.79767,35937.59466,37768.56601,38904.99925,34339.93916,33729.51191,35324.07206,34095.64717,35901.64596,35657.2872,35972.85966,36117.53526,37524.91492,39287.05971,38543.90729,28854.5973,35104.7868,41758.89576,46574.35742,50649.30152
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2167.022577,2238.454817,2299.255597,2353.972416,2486.09103,2649.498234,2835.845015,3023.755132,3132.535959,3095.108504,3210.348232,3320.033247,3244.664345,3373.823793,3514.322153,3539.815506,3634.441673,3837.726375,3723.216423,3801.413183,3708.094649,4028.376504,4369.191056,4501.601101,4635.788224
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,813.550256,747.6880455,926.507941,966.9620321,971.633503,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2201.722907,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2457.445111,2575.017011,2807.406331,2948.095191,3184.34533,3380.219194,3569.23524,3762.119849,3963.394037,4122.852971,4346.833633,4531.802947,4661.175276,4861.150622,5114.69221,5056.739439,4965.330229,5026.648499,5179.35999,5484.249418,5414.04254,5690.967743,6220.122875,6520.280313,6815.990961
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3689.537808,3801.633134,4241.291502,4322.197732,4770.688026,5415.61212,6017.818163,6727.963289,7315.602331,7227.563642,7411.654609,7537.596564,8246.360812,8504.095321,9017.690182,8067.485847,7766.837875,8006.836615,8278.368862,8572.878956,7827.428043,8862.281333,9588.241295,9753.600468,10118.60899
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3976.926083,4451.000524,4840.347882,5169.842511,5595.55058,6014.326823,6754.356795,7584.970687,8469.260125,9025.926107,9755.92876,10273.46683,10608.79125,10882.05808,11787.87181,12389.93191,13055.55875,14110.51654,15054.99847,16441.80419,16287.64326,18212.85327,22032.46085,24128.84454,26693.19344
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33458.11816,36895.44025,38787.05225,41147.8807,42717.23777,44577.81933,46852.65839,47501.43093,44838.995,42522.99456,43853.17124,46436.11586,45503.04448,45609.23072,48505.60174,50733.239,53110.14263,53084.86396,55244.65541,57475.06928,52095.8414,59332.20291,68470.07595,71730.66868,74939.4746
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9944.486687,10137.39325,10152.49385,10468.01781,11487.51733,12202.83473,13018.85712,13618.27929,14288.84774,14113.55608,14676.78186,15244.9958,16106.53064,16033.85988,15817.08277,14332.86621,13860.66332,14473.33638,15558.1308,15746.00488,14309.39281,16026.6357,17956.13156,18488.74156,18870.31481
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,92899.3675,90370.25412,88466.58162,92635.92269,98661.43706,101301.4123,106814.0536,100813.1882,94628.26666,84780.32097,85120.19747,89665.40189,89198.0119,87526.32548,87477.7342,73986.06364,69986.98357,70281.88895,77446.22699,79816.30109,66790.68227,68580.14854,75071.65863,77955.29518,79228.7388
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11499.9828,11117.75492,9953.464929,10933.39255,12117.67974,13464.81285,14843.57787,16455.11298,17276.75709,16182.07535,17847.61104,19104.99094,19430.41781,19928.98949,19487.41817,19899.14993,20105.76136,23385.07409,24410.39191,23516.8262,22393.34796,26300.27426,29808.80735,30221.49769,30431.19312
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2530.743947,2844.362664,3282.117063,3836.225568,4377.227597,5172.218921,6072.759245,7136.754055,7827.316667,6811.69248,7095.21268,7624.267726,8942.635379,9454.878528,9736.234975,9756.840848,10570.27204,12066.00431,12877.49375,14975.75395,14706.3173,15921.70528,19161.37005,21534.03054,22823.17953
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19318.89658,18568.67991,18812.78278,20127.34557,21628.68365,23484.80011,26949.40858,29850.56757,29978.20959,26156.91517,24071.0298,23804.07901,23011.73866,21760.52329,21671.47379,20985.43883,21320.43751,21422.00216,24524.2138,26550.58984,22370.09187,25745.49581,29933.88937,31601.75271,33386.19171
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26588.48654,27699.04204,29080.04393,30171.92718,31814.59823,33089.70235,34906.81631,36722.26751,37616.01124,40442.58963,39500.63035,42152.81618,43007.26978,46123.4751,47108.59065,46452.35658,47446.2103,48564.82866,50371.23383,52885.83138,54184.16145,58327.41468,66046.59863,70755.41236,71410.41987
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29214.73865,29556.40356,30952.17082,31962.92553,33523.0205,34776.66995,37396.0351,39193.81736,41046.79004,40665.50466,41740.11492,44171.56187,46156.48321,47519.85228,48355.49776,49562.59393,52397.86352,53869.83212,56636.4953,60354.92794,58523.03378,62968.94223,70734.94256,70478.78736,71621.80336
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3439.144429,3834.898159,4230.405902,4718.421123,5247.538344,6854.936188,9398.013248,11973.95963,13216.8435,14245.50354,14930.40999,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22552.08866,23651.59949,25088.99938
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,519.2373067,528.4355734,544.92279,531.8126122,551.5622092,553.0479738,579.7078044,593.5607345,609.0429065,604.5881541,613.69588,628.6654483,637.2470802,687.3709683,724.3719542,722.0328984,764.2822216,791.3934949,823.0131022,868.4237317,958.1355995,1035.538574,1104.777188,1149.984058,1194.946814
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37885.90591,39844.40544,41244.8495,42483.52507,43864.12042,45147.64295,46084.24246,48414.55181,50256.06318,52466.73308,56712.46957,56120.09584,60669.21377,68157.83479,69103.01026,72236.90505
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1671.357252,1745.982562,1799.882696,1841.602973,1915.346443,1945.564141,2020.605677,2135.537879,2215.351639,2213.328956,2220.328546,2264.841869,2346.084162,2511.653096,2670.415614,2725.337248,2842.024626,2885.89384,2965.306281,3148.979696,3244.587728,3464.288629,3844.154157,4129.96612,4434.564218
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,896.4774815,947.9193747,973.9839334,1037.837994,1079.000091,1171.764323,1244.002438,1290.49951,1351.360416,1359.692249,1449.422164,1531.343382,1571.838845,1642.892131,1661.317738,1691.579354,1881.758931,2042.402953,2073.323538,2232.16282,2380.722828,2486.430931,2645.24068,2759.302055,2895.89152
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1511.905006,1597.587406,1658.802309,1746.127258,1861.512563,2019.738396,2195.294855,2388.100252,2554.857882,2675.259459,2833.695444,3051.269833,3434.278151,3691.104311,3972.506477,4212.235781,4579.132287,4882.606926,5490.158819,6047.124015,6640.584373,7441.06914,8450.549025,9147.777507,9646.769844
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6422.789329,6961.039968,7786.421745,8417.470733,9201.739738,10291.44588,11408.04952,12822.31305,14346.87588,14180.72807,14955.91578,15747.42016,16327.28774,16893.81669,17990.82696,18901.1717,20745.4005,22316.9752,23997.21377,26765.13821,27352.03087,30959.19712,35815.27142,37435.27634,41519.53979
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45687.52174,46161.57585,45091.48942,45426.93459,46317.02848,47268.27216,48009.49174,49347.49462,50330.32486,48625.65692,49254.57701,52677.45112,56712.56927,56310.31175,54299.05646,48034.24689,47428.90189,50184.50058,51993.13078,56599.52144,53436.0317,54954.67579,61677.65385,64171.08574,66941.24304
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25421.62294,26351.07603,27171.30841,27030.89694,27659.53795,29142.90022,30401.50769,31232.13137,30678.62655,29196.61785,29624.97539,30073.67693,31035.55006,30294.47683,31726.17409,32137.57847,32285.27604,34282.17104,35227.76191,36116.0002,27204.62591,31064.68222,36791.40105,39090.12147,41197.93425
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4147.038135,4307.12305,4664.685187,4917.864024,5408.161336,5955.839207,6870.506528,7686.413935,8586.778048,8693.618397,9086.748535,9761.515196,10121.15564,10808.31215,11167.86781,11848.63224,12899.10377,13626.91514,14858.28291,16428.39366,16369.9356,18286.72254,21117.28308,22512.4345,22955.76162
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5795.652236,6238.098624,6697.154362,7361.721611,8482.920207,9636.891124,10994.59813,12320.02403,13886.13141,14034.19112,15339.0999,16563.20141,18114.75086,19014.05297,19037.88474,18133.53131,17832.47789,18413.74756,20025.98155,22301.59324,24872.30667,27611.18011,28429.49488,30834.17737,33010.33076
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7543.734472,7851.621629,8153.663926,8849.646289,9244.911662,9466.142745,9909.680144,10225.98673,9975.081244,9727.988685,9747.825622,9721.880846,9303.378575,9525.83089,9489.912214,9538.386911,9399.035671,9120.653383,9497.234804,10499.96207,9638.895137,11716.32678,13461.20985,13729.89206,14346.5188
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,54176.37775,59092.87597,58862.6908,61829.32401,64790.27392,67771.46838,73590.11607,77894.06462,77556.435,73336.98752,72188.69283,70911.54232,69149.05003,71519.63985,71988.53836,75943.4643,80412.18349,85680.97019,85978.21772,90984.45767,85146.40063,92319.67149,105142.41,114372.0499,124252.8357
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4113.042452,4204.936227,4303.835147,4432.920853,4662.970777,4937.869977,5244.160212,5536.568157,5889.943391,6024.059474,6245.338632,6597.962176,7183.826025,8068.720172,8628.942661,8757.317771,9242.027283,10420.39233,10758.40756,11005.35412,9580.989621,11202.44098,12306.72931,12892.12496,12877.63512
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9091.768513,9303.645292,9616.594855,9801.962125,10525.71138,11081.24747,11750.53124,12672.50512,13445.24547,13390.68313,14451.71584,15211.79204,15198.08633,15722.33352,15827.30816,14821.43832,14309.20615,14559.04889,15463.74264,16069.83802,16101.61831,18075.706,19876.85335,21175.6187,22338.47656
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15914.08476,15865.58636,16133.07929,16706.53249,17298.89226,18449.81089,20076.48513,20949.36491,21375.90077,20323.6367,20032.58186,20316.29254,19605.01692,19032.46541,18594.90018,19185.51864,19175.57019,18436.80508,19777.05932,19971.11857,16555.36221,17682.73145,22193.24871,23660.40475,24822.53433
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,73086.93183,74253.88178,76838.17577,79632.17223,80403.75791,81534.17154,86114.33706,83693.32137,80476.72476,77957.14428,79542.67794,82735.39145,87256.04224,83237.14709,81225.54854,62707.82644,56679.51852,61657.68027,65148.8264,69353.67995,69787.96328,78248.79713,81801.74592,85032.60087,89879.3615
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3113.045439,3338.492469,3662.809072,3942.281446,4172.782171,4523.359706,4860.270172,5728.915695,6035.217411,6466.097449,7245.772635,7935.46761,8577.407319,8666.910636,9323.394489,10213.81396,11273.28238,11677.41427,11969.5615,12909.10098,12475.048,13458.81267,15063.81058,16215.15201,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9380.376073,9419.793907,9957.740559,10438.75803,10818.15865,11458.2271,12562.96499,13388.73791,13810.35553,11686.18466,12753.30663,13635.42677,12736.58339,13621.14947,15003.31975,14143.69407,16228.12312,15700.66505,15785.81963,15960.01561,15292.26247,17960.62544,19976.83438,21012.1032,20538.13202
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,639.836997,668.4459393,688.1804511,648.1932154,690.426514,702.4606246,743.2874802,783.3554453,797.6528062,877.2521311,936.4854974,980.185521,1062.068099,709.8534812,698.9637389,768.870888,826.0133014,883.8107349,905.8177889,984.8431837,1066.290054,1128.55238,1217.849771,1257.094357,1263.102342
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29362.08416,30230.84877,30963.92189,32351.5457,33927.6697,36328.37899,38119.39096,39575.47701,40376.08828,38864.0567,40098.25372,41666.83746,42291.97294,44301.05625,45758.10073,44669.45136,46470.64664,48317.38745,49982.59991,50498.97311,48590.68321,56995.11768,63578.32019,64462.92117,65463.0991
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10035.74122,10821.85921,11641.21505,12342.17247,13494.40579,14308.06403,15918.05062,17751.00584,19673.01164,19698.72678,20867.20781,22364.54898,23159.45839,23943.70414,25048.16931,26292.5031,27955.50234,30076.4818,32302.21302,35861.52247,36454.25308,40122.46916,44764.1095,46468.13887,49854.82572
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36695.20706,37822.92751,38704.95846,38737.30793,40176.57074,41524.84887,46275.54948,50929.4927,53808.78411,52971.37328,54432.33299,57493.58106,59440.91586,61656.46617,63417.04381,65282.58419,67350.75187,68193.50559,70688.81875,73732.23533,72997.82395,81001.41112,91326.1317,90498.5752,94115.82426
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9375.590084,9775.553235,10133.40411,10708.82365,11612.39969,12550.4348,15510.77007,16697.51602,16375.96485,15951.33049,17917.89512,20121.68342,21366.17713,22201.06607,22553.61618,22457.88006,23256.5036,24295.22377,25305.09035,25611.75783,25350.86351,29089.85046,30820.3527,32801.37864,34637.11683
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2963.532386,3258.402107,3590.765959,4007.116046,4504.929372,5148.182739,5946.286828,6935.265806,7712.846084,8447.982815,9411.138219,10456.79168,11420.25271,12228.37361,12941.59648,13463.33315,14157.2515,15022.43719,16298.20506,17600.89076,18267.47835,20843.29783,23032.17663,25179.11931,27104.87027
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3040.575932,2961.762873,2851.030414,2701.741685,2794.173257,2841.823088,2941.821412,2984.534722,3115.837892,3176.632424,3360.544088,3175.919224,3290.723069,3619.017909,4074.214455,4403.642966,4530.648498,4690.178019,4945.625206,5516.390551,5543.850963,6045.204805,6719.443816,7237.181707,7669.231957
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2108.49455,2190.896407,2263.055197,2368.101195,2532.647444,2597.680399,2704.437398,2817.722281,2870.441069,2878.951439,2913.942928,2988.817287,3059.642266,3238.868298,3422.261282,3497.660676,3626.99932,3767.430729,4010.763601,4241.111749,4365.447041,4793.556282,5188.977509,5410.769219,5588.986459
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,416.5482145,403.9831967,409.6418338,428.3324707,455.8665574,483.9100248,508.4008175,549.8276501,584.0208103,572.959249,605.7851603,643.7646791,647.8017333,760.6498799,859.3568161,910.3931316,950.0222982,990.5450514,1048.865029,1056.172067,1088.789004,1402.385603,1590.164042,1730.622289,1821.048687
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3667.424873,3748.446749,3888.164023,3886.992068,3991.511247,4278.925387,4588.109249,4242.611268,4448.332617,4800.901598,5125.069913,5175.204391,6058.064494,5833.863367,5733.183936,4715.134316,4016.049085,4444.639002,5593.193706,5719.599773,4770.964498,6263.211613,6647.496817,6850.277706,7026.362233
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6775.930644,6934.882843,7108.823903,7420.460084,7909.346352,8432.333291,9154.089262,9909.290314,10307.06499,10367.34896,10841.12798,11707.46146,12093.07549,12779.88658,13355.36242,13332.0555,14026.83999,14400.61398,15239.40495,16181.5909,15519.21017,17383.09017,20695.74268,20944.48839,21508.78025
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1740.649471,1838.107144,1911.612568,1949.138161,2024.852645,2162.071956,2145.92067,2177.928168,2262.49853,2303.947829,2372.41234,2471.787247,2678.702628,2832.531215,2937.611929,2949.473422,3139.051607,3347.45653,3276.009367,3293.056017,3244.88675,3377.885185,3641.629204,3811.650849,3958.532288
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3124.494884,3216.646512,3388.448145,3551.463843,3968.656917,4324.202325,4758.37705,5566.769491,6010.851368,5900.660865,6038.585257,6384.228441,6318.061087,6367.280013,6416.833012,6773.4868,7350.753587,7935.761763,7916.421153,8645.756469,6852.576699,7685.419214,9481.073354,10242.1532,11195.12053
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7879.47795,8190.074409,8460.652296,8862.994121,9365.327754,9898.929193,10799.5114,11841.90117,12471.67231,12273.8604,12927.56459,13614.2604,14463.74044,15232.07715,16393.80954,17525.14046,19201.74532,20499.34421,21498.03507,23339.60913,22099.86781,23852.9253,25924.74038,28075.14217,30062.84916
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11711.51219,12176.35969,12816.92005,13920.05424,14941.0003,16225.01669,18069.55119,19223.81066,19882.21537,19265.03319,19804.35631,20269.54989,20766.90027,20903.0586,21206.12584,20632.33769,19975.90213,20762.53659,21259.27952,22157.00188,20161.68596,23493.30544,28974.99655,32868.209,38624.06054
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21891.04536,23057.26136,23479.79733,23522.27489,23791.19741,24081.15121,24590.19237,25374.14299,26098.47115,25950.39504,25956.81076,26251.36282,25105.99247,24821.7963,24347.76058,24037.64858,23649.59165,24321.74681,24623.04143,25396.99662,21722.01737,24905.76845,28640.68723,30651.58855,32693.29398
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,75190.66224,77337.18937,76297.4603,69254.18272,66325.45799,66629.16359,64726.53053,63648.25475,63560.51377,64009.3171,65680.07433,68017.67568,71811.8925,72697.36719,66118.65409,74160.4914,82295.58207,88427.78667,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21291.25781,22868.67188,23556.35547,24281.11133,25945.51758,27763.20313,30015.19141,32889.08984,34830.15234,33883.72266,33505.88281,33406.11328,31923.98828,30415.9043,29892.79297,31388.61523,35246.125,37767.66016,40261.51172,44393.125,42569.10156,47632.67188,54850.9375,57326.74609,61271.82031
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16328.79792,17711.33552,18344.03294,19606.58939,20990.93282,22114.83631,23919.29271,26268.56532,27937.84157,27698.81061,28156.98547,29237.1871,29465.6074,31013.00829,32743.48977,34102.17699,36445.04857,39346.03056,41638.18311,45614.01711,44839.48221,47796.03374,51709.83739,53217.21917,56686.54535
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27467.78242,28677.19086,29513.68233,30305.25757,31757.41773,32313.73679,34748.75433,36915.32528,38443.53863,37554.4427,39730.48979,43398.3444,44229.39419,45889.0173,47938.79682,48558.4433,51569.90168,54110.25366,56273.04056,59270.72765,58685.8727,62530.76532,68093.78831,69199.83972,72295.23537
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,3762.281961,3978.346671,4263.962889,4431.565886,4676.713361,5083.11077,5398.000368,5527.001852,5960.108074,6621.330382,7225.838796,7810.278691
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7111.41311,7290.628324,7167.042719,7714.295099,8232.184609,8557.415949,9199.881764,9949.480165,10862.25827,10803.55637,10924.09532,11122.89941,10920.90851,11286.2697,12083.29263,12092.7316,12945.00296,12696.19566,15069.89724,16020.59447,14243.76231,15808.97435,18802.08199,20285.98217,21300.68487
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28641.69904,29462.12329,30666.59677,30868.04561,33019.97729,34238.32181,37400.30752,39111.51903,41467.38619,40503.20463,43042.39464,44443.71638,44755.16243,46869.19329,47879.59556,48910.33244,51820.95213,55271.5976,57233.62317,60594.9664,62682.28995,69715.18097,77400.3348,73737.44754,79514.28544
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6639.011319,6847.573661,7157.668255,7097.557078,7374.812318,8215.032446,9130.069061,9951.131916,10345.8081,10381.62481,11245.68119,11694.66419,11776.62281,12413.91002,13464.79256,14804.09741,16282.18991,16846.20723,17994.83827,19766.76286,18998.30697,22053.45899,24625.80886,25839.93567,27541.66253
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9186.815903,9543.520354,10080.1825,10802.75067,11431.68567,12246.26922,12791.34126,13320.96412,13666.2182,13651.4473,14201.36599,14639.87794,14441.32934,14370.82066,14694.14383,13807.35158,13437.84602,13493.56075,13727.12664,13892.53334,12676.51306,14496.86547,15836.09444,16824.4879,17620.7424
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3341.289308,3603.381284,3906.759646,4288.360787,4748.711084,5317.937307,6002.405863,6831.179762,7476.64285,8020.873475,8827.223771,9671.394502,10521.43813,11177.04533,11753.50186,12146.38125,12741.99338,13488.39325,14588.47495,15683.06289,16013.65753,17966.23221,19926.10473,21666.58625,23248.02518
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4171.739186,4275.366337,4357.061443,4591.142091,4945.688622,5322.161077,5764.233747,6186.368575,6469.072997,6555.654101,6961.230811,7376.21,7746.792316,7978.416441,8211.154837,8320.235946,8635.174949,9114.437608,9604.812218,9940.087155,9683.176291,10813.11642,12293.34526,13244.32872,13961.09297
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5816.96448,6123.087041,6501.47159,6932.060514,7523.62997,8190.884001,8991.900637,9933.219051,10562.7952,10947.03557,11884.1994,12774.04505,13656.82455,14414.51828,14992.9661,15476.87005,16050.88299,16840.93988,17964.5548,19051.27402,19381.2184,21508.49576,23692.5596,25539.52827,27212.1652
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5720.43786,5932.352288,6241.754714,6683.768444,7550.24205,8325.922029,9503.600475,10593.41174,11424.72063,11073.31653,12077.58001,13283.23166,14029.30882,15269.95235,15792.87955,16081.01355,16677.56724,17661.77459,18319.3957,19465.51426,19787.10767,22121.82343,25231.39244,27629.31378,29111.7536
