Local Authority,Number of crimes in 2024-25,
Aberdeen City,"14,319",
Aberdeenshire,"7,670",
Angus,"4,688",
Argyll and Bute,"3,469",
Clackmannanshire,"2,645",
Dumfries and Galloway,"7,774",
Dundee City,"11,771",
East Ayrshire,"6,434",
East Dunbartonshire,"2,641",
East Lothian,"4,757",
East Renfrewshire,"2,602",
City of Edinburgh,"38,116",
Falkirk,"8,032",
Fife,"18,901",
Glasgow City,"52,406",
Highland,"10,256",
Inverclyde,"4,032",
Midlothian,"4,953",
Moray,"3,955",
Na h-Eileanan Siar,572,
North Ayrshire,"7,598",
North Lanarkshire,"19,384",
Orkney Islands,515,
Perth and Kinross,"6,069",
Renfrewshire,"9,667",
Scottish Borders,"4,554",
Shetland Islands,414,
South Ayrshire,"5,167",
South Lanarkshire,"16,150",
Stirling,"3,732",
West Dunbartonshire,"5,832",
West Lothian,"10,036",
,,
,,